DataZone,DataZoneName,IntZone,IntZoneName,CA,CAName,HSCP,HSCPName,HB,HBName,Country
S01010516,Fort William South - 01,S02001980,Fort William South,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S01010517,Fort William South - 02,S02001980,Fort William South,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S01010518,Fort William South - 03,S02001980,Fort William South,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S01010519,Fort William South - 04,S02001980,Fort William South,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S01010520,Fort William South - 05,S02001980,Fort William South,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S01010521,Fort William South - 06,S02001980,Fort William South,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S01010522,Fort William South - 07,S02001980,Fort William South,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S01010523,Fort William South - 08,S02001980,Fort William South,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S01010524,Lochaber East and North - 01,S02001981,Lochaber East and North,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S01010525,Lochaber East and North - 02,S02001981,Lochaber East and North,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S01010526,Lochaber East and North - 03,S02001981,Lochaber East and North,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S01010527,Lochaber East and North - 04,S02001981,Lochaber East and North,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S01010528,Lochaber East and North - 05,S02001981,Lochaber East and North,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S01010529,Lochaber East and North - 06,S02001981,Lochaber East and North,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S01010530,Lochaber East and North - 07,S02001981,Lochaber East and North,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S01010531,Badenoch and Strathspey South - 01,S02001982,Badenoch and Strathspey South,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S01010532,Badenoch and Strathspey South - 02,S02001982,Badenoch and Strathspey South,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S01010533,Badenoch and Strathspey South - 03,S02001982,Badenoch and Strathspey South,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S01010534,Badenoch and Strathspey South - 04,S02001982,Badenoch and Strathspey South,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S01010535,Badenoch and Strathspey South - 05,S02001982,Badenoch and Strathspey South,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S01010536,Badenoch and Strathspey Central - 01,S02001983,Badenoch and Strathspey Central,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S01010537,Badenoch and Strathspey Central - 02,S02001983,Badenoch and Strathspey Central,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S01010538,Badenoch and Strathspey Central - 03,S02001983,Badenoch and Strathspey Central,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S01010539,Badenoch and Strathspey Central - 04,S02001983,Badenoch and Strathspey Central,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S01010540,Badenoch and Strathspey Central - 05,S02001983,Badenoch and Strathspey Central,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S01010541,Badenoch and Strathspey Central - 06,S02001983,Badenoch and Strathspey Central,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S01010542,Badenoch and Strathspey North - 01,S02001984,Badenoch and Strathspey North,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S01010543,Badenoch and Strathspey North - 02,S02001984,Badenoch and Strathspey North,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S01010544,Badenoch and Strathspey North - 03,S02001984,Badenoch and Strathspey North,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S01010545,Badenoch and Strathspey North - 04,S02001984,Badenoch and Strathspey North,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S01010546,Badenoch and Strathspey North - 05,S02001984,Badenoch and Strathspey North,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
S01010547,Badenoch and Strathspey North - 06,S02001984,Badenoch and Strathspey North,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
